window_index,symbol,timeframe,variant,is_start_time,is_end_time,oos_start_time,oos_end_time,is_num_bars,oos_num_bars,is_total_return,is_max_drawdown,is_win_rate,is_profit_factor,is_sharpe,is_num_trades,is_avg_trade_return,is_fill_rate,is_num_penetrations,oos_total_return,oos_max_drawdown,oos_win_rate,oos_profit_factor,oos_sharpe,oos_num_trades,oos_avg_trade_return,oos_fill_rate,oos_num_penetrations,return_gap,profit_factor_gap
0,BTC/USDT:USDT,4h,A,1689249600000,1720800000000,1720814400000,1728691200000,2192,548,-0.07379580280352985,0.09528034579595442,0.4444444444444444,0.42054965792736265,-14.51865227299742,9,-0.008168046189231417,,,0.00411868719139693,0.0,1.0,,,1,0.004205374926041115,,,-0.07791448999492678,
0,BTC/USDT:USDT,4h,B,1689249600000,1720800000000,1720814400000,1728691200000,2192,548,-0.06901127189520102,0.13632712043789857,0.38461538461538464,0.64616688684645,-8.286248191237881,13,-0.00510165373036311,0.34210526315789475,0.0,0.04395191851421951,0.0194016386232851,0.75,3.2138914434190218,20.90207616993337,4,0.011038212996283369,0.4,0.0,-0.11296319040942053,-2.5677245565725717
1,BTC/USDT:USDT,4h,A,1697140800000,1728691200000,1728705600000,1736582400000,2192,548,-0.09709191125675898,0.0976832848727594,0.2857142857142857,0.23872178697932273,-23.33058526499307,7,-0.01378024656706176,,,-0.052416583086156605,0.052416583086156605,0.0,0.0,-40.954182523981956,2,-0.026328610813034427,,,-0.04467532817060237,0.23872178697932273
1,BTC/USDT:USDT,4h,B,1697140800000,1728691200000,1728705600000,1736582400000,2192,548,-0.061404415923526176,0.13646963411988708,0.42857142857142855,0.7027488986155895,-6.348268226956608,14,-0.004093881043977492,0.4,0.0,-0.0461879658079104,0.0461879658079104,0.3333333333333333,0.18115301862040262,-29.73150526874039,3,-0.015439994237092742,0.375,0.0,-0.015216450115615773,0.521595879995187
2,BTC/USDT:USDT,4h,A,1705032000000,1736582400000,1736596800000,1744473600000,2192,548,-0.13386585403232584,0.13386585403232584,0.25,0.18287092831487223,-28.669824652754635,8,-0.01744346604341244,,,0.022682243129971722,0.0,1.0,,,1,0.023815929051829828,,,-0.15654809716229756,
2,BTC/USDT:USDT,4h,B,1705032000000,1736582400000,1736596800000,1744473600000,2192,548,-0.14308834646968152,0.14308834646968152,0.3333333333333333,0.4239811527983571,-16.201193979935056,15,-0.009863871536030699,0.4166666666666667,0.0,0.03997351073299651,0.013951376830732443,0.6666666666666666,3.86520185197364,18.194252620312795,3,0.013546116852499396,0.3,0.0,-0.18306185720267804,-3.441220699175283
3,BTC/USDT:USDT,4h,A,1712923200000,1744473600000,1744488000000,1752364800000,2192,548,-0.08784118793931721,0.10978785089058783,0.2857142857142857,0.20029656136946583,-26.213544489107562,7,-0.012424377339501016,,,-0.030104517534193475,0.030104517534193475,0.0,0.0,-34.252128168002216,2,-0.015059818163101804,,,-0.05773667040512373,0.20029656136946583
3,BTC/USDT:USDT,4h,B,1712923200000,1744473600000,1744488000000,1752364800000,2192,548,-0.043776415996506696,0.09350493197004471,0.42857142857142855,0.7236937292894065,-5.157052608647273,14,-0.0028786175628796942,0.3888888888888889,0.0,-0.0172167451322317,0.019277722453625832,0.3333333333333333,0.5410864431629192,-11.513312670497369,3,-0.005599990938586771,0.3333333333333333,0.0,-0.026559670864274996,0.18260728612648724
4,BTC/USDT:USDT,4h,A,1720814400000,1752364800000,1752379200000,1760256000000,2192,548,-0.053962140758500574,0.05784259240544002,0.3333333333333333,0.32779368076074267,-16.750133148316596,6,-0.009125925662400251,,,-0.030429677331365382,0.030429677331365382,0.0,0.0,-145.79838128964658,2,-0.015334122910403234,,,-0.023532463427135192,0.32779368076074267
4,BTC/USDT:USDT,4h,B,1720814400000,1752364800000,1752379200000,1760256000000,2192,548,0.017876901551504308,0.05949088705043568,0.5384615384615384,1.1359603937082254,2.99104009245569,13,0.0016797885665142006,0.3611111111111111,0.0,-0.021293715435075317,0.029655959741867844,0.25,0.2881101051689104,-25.49843593001965,4,-0.005330561920969826,0.36363636363636365,0.0,0.03917061698657963,0.8478502885393151
