symbol,timeframe,window_start,window_end,htf_bars,one_min_bars,expected_one_min,coverage_ratio,missing_policy,note
BTC/USDT:USDT,15m,2023-07-13T14:15:00+00:00,2026-07-13T02:37:00+00:00,105170,1577543,1577543,1.0,exclude_uncovered_setups,ok
BTC/USDT:USDT,1h,2023-07-13T14:06:00+00:00,2026-07-13T02:37:00+00:00,26292,1577552,1577552,1.0,exclude_uncovered_setups,ok
BTC/USDT:USDT,4h,2023-07-13T14:06:00+00:00,2026-07-13T02:37:00+00:00,6573,1577552,1577552,1.0,exclude_uncovered_setups,ok
BTC/USDT:USDT,1d,2023-07-13T14:06:00+00:00,2026-07-13T02:37:00+00:00,1096,1577552,1577552,1.0,exclude_uncovered_setups,ok
ETH/USDT:USDT,15m,2023-07-13T14:15:00+00:00,2026-07-13T02:37:00+00:00,105170,1577543,1577543,1.0,exclude_uncovered_setups,ok
ETH/USDT:USDT,1h,2023-07-13T09:00:00+00:00,2026-07-13T02:37:00+00:00,26298,1577858,1577858,1.0,exclude_uncovered_setups,ok
ETH/USDT:USDT,4h,2023-07-13T08:37:00+00:00,2026-07-13T02:37:00+00:00,6574,1577881,1577881,1.0,exclude_uncovered_setups,ok
ETH/USDT:USDT,1d,2023-07-13T08:37:00+00:00,2026-07-13T02:37:00+00:00,1096,1577881,1577881,1.0,exclude_uncovered_setups,ok
SOL/USDT:USDT,15m,2023-07-13T14:15:00+00:00,2026-07-13T02:37:00+00:00,105170,1577543,1577543,1.0,exclude_uncovered_setups,ok
SOL/USDT:USDT,1h,2023-07-13T09:00:00+00:00,2026-07-13T02:37:00+00:00,26298,1577858,1577858,1.0,exclude_uncovered_setups,ok
SOL/USDT:USDT,4h,2023-07-13T08:37:00+00:00,2026-07-13T02:37:00+00:00,6574,1577881,1577881,1.0,exclude_uncovered_setups,ok
SOL/USDT:USDT,1d,2023-07-13T08:37:00+00:00,2026-07-13T02:37:00+00:00,1096,1577881,1577881,1.0,exclude_uncovered_setups,ok
