symbol,timeframe,segment,gate,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count
BTC/USDT:USDT,15m,IS,off,-0.026283551211515443,372,191,181,1279,0.9910713076282742,-0.37813921813104545,3.3783769379516126,0.665,200,0
BTC/USDT:USDT,15m,OOS,off,0.03860429516948316,190,112,78,646,0.03665808190712157,-0.18675183613104554,0.34886125146892155,0.42,200,0
BTC/USDT:USDT,15m,IS,on,-0.027302840914628722,38,38,0,42,-0.023986294667020534,-0.05525783778746627,-0.002097163527561679,0.51,200,0
BTC/USDT:USDT,15m,OOS,on,0.012971392987685067,17,17,0,21,0.025425129543574343,-0.01847878354440909,0.05440535265569288,0.76,200,0
BTC/USDT:USDT,1h,IS,off,0.32732403849826985,94,43,51,321,0.4997670304893164,-0.17801375938850342,2.72063597293945,0.185,200,0
BTC/USDT:USDT,1h,OOS,off,0.09012348304034676,50,23,27,152,-0.013708558650608502,-0.13852151893374592,0.12538404985138385,0.07,200,0
BTC/USDT:USDT,1h,IS,on,0.22993184124613963,16,16,0,20,0.25690252731668983,0.21323154553009407,0.3063151228042607,0.73,200,0
BTC/USDT:USDT,1h,OOS,on,0.0808566219021508,9,9,0,9,0.08085662190215047,0.0808566219021508,0.0808566219021508,1.0,200,0
BTC/USDT:USDT,4h,IS,off,-0.014454863438446592,26,12,14,74,0.25023881936938935,-0.07902462344188643,1.5609134072485744,0.77,200,0
BTC/USDT:USDT,4h,OOS,off,-0.10654154393648314,13,8,5,35,-0.02432263669100673,-0.11668701434316299,0.10665197792734271,0.95,200,0
BTC/USDT:USDT,4h,IS,on,-0.03150743955694234,3,3,0,5,-0.030711817583694175,-0.03150743955694234,-0.029962542521509202,1.0,200,0
BTC/USDT:USDT,4h,OOS,on,-0.04231819040387545,4,4,0,6,-0.04244579895261018,-0.0425589612505446,-0.04231819040387545,0.47,200,0
BTC/USDT:USDT,1d,IS,off,-0.030181118986310686,3,1,2,10,-0.01639475365385045,-0.01639475365385042,-0.01639475365385042,1.0,200,0
BTC/USDT:USDT,1d,OOS,off,-0.020254633157551688,2,1,1,8,-0.020355949245599247,-0.020355949245599185,-0.020355949245599185,0.0,200,0
BTC/USDT:USDT,1d,IS,on,0.0,0,0,0,0,,,,,0,0
BTC/USDT:USDT,1d,OOS,on,-0.01014752544653711,1,1,0,4,-0.01014752544653709,-0.01014752544653711,-0.01014752544653711,1.0,200,0
ETH/USDT:USDT,15m,IS,off,-0.09992220552541312,367,166,201,1296,-0.24661088306714504,-0.43212224928845017,-0.01759795866970544,0.115,200,0
ETH/USDT:USDT,15m,OOS,off,-0.045997490199312416,189,100,89,651,-0.07538279763275031,-0.2631369202797111,0.16846672986650502,0.39,200,0
ETH/USDT:USDT,15m,IS,on,-0.09303121726466634,48,48,0,58,-0.05264182600525509,-0.15848468486661876,0.01672548382955756,0.825,200,0
ETH/USDT:USDT,15m,OOS,on,-0.03759866421144507,41,41,0,52,-0.025278020163498803,-0.11313861789834936,0.045675992583133485,0.645,200,0
ETH/USDT:USDT,1h,IS,off,-0.09048203027005856,101,45,56,310,-0.08153363648580181,-0.257172430645277,0.10551226114304445,0.485,200,0
ETH/USDT:USDT,1h,OOS,off,-0.022735332017294604,64,31,33,160,-0.06137773004278338,-0.18263012199972273,0.07997603193941268,0.23,200,0
ETH/USDT:USDT,1h,IS,on,-0.010177219128093567,22,22,0,24,0.009694032767103523,-0.030651922996238864,0.04905463172940527,0.84,200,0
ETH/USDT:USDT,1h,OOS,on,0.02073287814093892,11,11,0,16,0.05103266636752158,-0.03562140125423211,0.10942399062854948,0.79,200,0
ETH/USDT:USDT,4h,IS,off,-0.08557143184040997,28,14,14,73,0.007609240728991371,-0.13277261981547053,0.1325519710823446,0.88,200,0
ETH/USDT:USDT,4h,OOS,off,0.01511170371621356,10,4,6,33,0.06296138342513703,-0.023217501094899125,0.1664230157629161,0.765,200,0
ETH/USDT:USDT,4h,IS,on,-0.023923892488844467,6,6,0,11,-0.011996763735153711,-0.023923892488844467,0.01734648296047253,1.0,200,0
ETH/USDT:USDT,4h,OOS,on,0.017305067983871776,4,4,0,4,0.017305067983871773,0.017305067983871776,0.017305067983871776,1.0,200,0
ETH/USDT:USDT,1d,IS,off,-0.04052179676348551,4,1,3,12,-0.04057624519510062,-0.04057624519510082,-0.04057624519510082,0.0,200,0
ETH/USDT:USDT,1d,OOS,off,-0.012864894067449131,5,4,1,8,-0.0011994347907880942,-0.012962758050362027,0.024278601140789398,0.645,200,0
ETH/USDT:USDT,1d,IS,on,-0.010371540533980624,1,1,0,2,-0.010371540533980612,-0.010371540533980624,-0.010371540533980624,1.0,200,0
ETH/USDT:USDT,1d,OOS,on,-0.005827224007423865,3,3,0,4,-0.005877490471009737,-0.005925785700729466,-0.005827224007423865,0.49,200,0
SOL/USDT:USDT,15m,IS,off,-0.06005996820046912,403,209,194,1352,3.017822704742962,-0.4698354316178053,7.332218070348819,0.685,200,0
SOL/USDT:USDT,15m,OOS,off,0.31113848195347693,191,90,101,645,0.2080229450815878,-0.344163550028025,1.2198300934739448,0.43,200,0
SOL/USDT:USDT,15m,IS,on,0.08298861781567467,78,78,0,103,0.08987107864865522,-0.11540146579759966,0.276333621120054,0.52,200,0
SOL/USDT:USDT,15m,OOS,on,0.31393348632391516,37,37,0,46,0.23262847206956636,-0.07281621673873942,0.47100121753790625,0.58,200,0
SOL/USDT:USDT,1h,IS,off,-0.15791764587362342,107,48,59,317,0.10272877938886257,-0.28493034717349136,0.7840685952183943,0.835,200,0
SOL/USDT:USDT,1h,OOS,off,-0.043028633405057914,49,21,28,163,-0.028414009181165406,-0.1549053945459369,0.13411332323050992,0.54,200,0
SOL/USDT:USDT,1h,IS,on,-0.01191898017370404,23,23,0,35,0.019596778227021366,-0.077103683788972,0.11228415943352212,0.755,200,0
SOL/USDT:USDT,1h,OOS,on,0.032087414973316485,18,18,0,24,0.07819541724425569,0.01924692528172418,0.13673141074610612,0.945,200,200
SOL/USDT:USDT,4h,IS,off,0.1380456201449617,38,20,18,79,0.33764957154667885,0.009583939928067957,0.7339177173014199,0.68,200,200
SOL/USDT:USDT,4h,OOS,off,-0.09151575011695114,14,7,7,35,0.0017824981068090676,-0.09924295305435935,0.17142585273941277,0.965,200,0
SOL/USDT:USDT,4h,IS,on,0.17241334591089763,12,12,0,15,0.1635666993434517,0.09484657034407301,0.207589183993392,0.485,200,0
SOL/USDT:USDT,4h,OOS,on,-0.020920256127768697,7,7,0,11,-0.011333689026285738,-0.043356419664795975,0.008374457625029936,0.755,200,0
SOL/USDT:USDT,1d,IS,off,0.032479740310985106,4,2,2,12,0.0040041133292644665,-0.0062068739199738045,0.01442343122478469,0.0,200,0
SOL/USDT:USDT,1d,OOS,off,-0.01797052648733661,5,2,3,8,-0.016752871528782666,-0.04994692936130577,0.0033518817452002623,0.52,200,400
SOL/USDT:USDT,1d,IS,on,-0.010179099766636317,1,1,0,1,-0.010179099766636278,-0.010179099766636317,-0.010179099766636317,1.0,200,0
SOL/USDT:USDT,1d,OOS,on,-0.010143909182207062,1,1,0,2,-0.010143909182207084,-0.010143909182207062,-0.010143909182207062,1.0,200,0
