symbol,timeframe,segment,cost_multiplier,total_return,num_trades
BTC/USDT:USDT,15m,IS,1.0,0.047509562754852595,144
BTC/USDT:USDT,15m,IS,1.5,-0.04371193266484734,144
BTC/USDT:USDT,15m,IS,2.0,-0.12702799724536107,144
BTC/USDT:USDT,15m,OOS,1.0,-0.07216322719927357,80
BTC/USDT:USDT,15m,OOS,1.5,-0.1187706919191718,80
BTC/USDT:USDT,15m,OOS,2.0,-0.16305815272314303,80
BTC/USDT:USDT,1h,IS,1.0,0.13069833047497467,42
BTC/USDT:USDT,1h,IS,1.5,0.10429165490875203,42
BTC/USDT:USDT,1h,IS,2.0,0.07849057885387083,42
BTC/USDT:USDT,1h,OOS,1.0,0.021444933693516032,23
BTC/USDT:USDT,1h,OOS,1.5,0.008166544990461261,23
BTC/USDT:USDT,1h,OOS,2.0,-0.004944906664514929,23
BTC/USDT:USDT,4h,IS,1.0,-0.02131101639976823,12
BTC/USDT:USDT,4h,IS,1.5,-0.02530325336603855,12
BTC/USDT:USDT,4h,IS,2.0,-0.029280161113367283,12
BTC/USDT:USDT,4h,OOS,1.0,-0.06112513529245753,8
BTC/USDT:USDT,4h,OOS,1.5,-0.06371918642740602,8
BTC/USDT:USDT,4h,OOS,2.0,-0.06630669172466223,8
BTC/USDT:USDT,1d,IS,1.0,-0.010175740365646198,1
BTC/USDT:USDT,1d,IS,1.5,-0.010263590729224052,1
BTC/USDT:USDT,1d,IS,2.0,-0.010351427879971925,1
BTC/USDT:USDT,1d,OOS,1.0,-0.01014752544653711,1
BTC/USDT:USDT,1d,OOS,1.5,-0.010221271606629124,1
BTC/USDT:USDT,1d,OOS,2.0,-0.010295006724603263,1
ETH/USDT:USDT,15m,IS,1.0,-0.13642777841144943,147
ETH/USDT:USDT,15m,IS,1.5,-0.2093603124714762,147
ETH/USDT:USDT,15m,IS,2.0,-0.2761629112238219,147
ETH/USDT:USDT,15m,OOS,1.0,-0.024842500038849358,90
ETH/USDT:USDT,15m,OOS,1.5,-0.07692796852678056,90
ETH/USDT:USDT,15m,OOS,2.0,-0.1262539982641374,90
ETH/USDT:USDT,1h,IS,1.0,0.0217472429227475,45
ETH/USDT:USDT,1h,IS,1.5,0.0009902715639555026,45
ETH/USDT:USDT,1h,IS,2.0,-0.019352404522019605,45
ETH/USDT:USDT,1h,OOS,1.0,-0.03659148231238669,31
ETH/USDT:USDT,1h,OOS,1.5,-0.05030559714018582,31
ETH/USDT:USDT,1h,OOS,2.0,-0.06382930773554417,31
ETH/USDT:USDT,4h,IS,1.0,-0.01240959172742696,14
ETH/USDT:USDT,4h,IS,1.5,-0.016003370084538074,14
ETH/USDT:USDT,4h,IS,2.0,-0.019584633330509315,14
ETH/USDT:USDT,4h,OOS,1.0,0.017305067983871596,4
ETH/USDT:USDT,4h,OOS,1.5,0.015768942943162438,4
ETH/USDT:USDT,4h,OOS,2.0,0.014234665666279397,4
ETH/USDT:USDT,1d,IS,1.0,-0.010371540533980624,1
ETH/USDT:USDT,1d,IS,1.5,-0.010557268385922362,1
ETH/USDT:USDT,1d,IS,2.0,-0.01074296796116505,1
ETH/USDT:USDT,1d,OOS,1.0,-0.003640902276144334,4
ETH/USDT:USDT,1d,OOS,1.5,-0.004074067832922628,4
ETH/USDT:USDT,1d,OOS,2.0,-0.004507038151755114,4
SOL/USDT:USDT,15m,IS,1.0,0.37079537877851415,204
SOL/USDT:USDT,15m,IS,1.5,0.22124166015143873,204
SOL/USDT:USDT,15m,IS,2.0,0.08794823479444913,204
SOL/USDT:USDT,15m,OOS,1.0,0.3830760050398521,89
SOL/USDT:USDT,15m,OOS,1.5,0.31126430318968157,89
SOL/USDT:USDT,15m,OOS,2.0,0.24315043500284683,89
SOL/USDT:USDT,1h,IS,1.0,-0.023342764900650945,48
SOL/USDT:USDT,1h,IS,1.5,-0.04141574501431951,48
SOL/USDT:USDT,1h,IS,2.0,-0.059160044572812695,48
SOL/USDT:USDT,1h,OOS,1.0,0.013128667644740563,21
SOL/USDT:USDT,1h,OOS,1.5,0.00404874094013685,21
SOL/USDT:USDT,1h,OOS,2.0,-0.004952814611776375,21
SOL/USDT:USDT,4h,IS,1.0,0.13540574061562838,20
SOL/USDT:USDT,4h,IS,1.5,0.13067633851717272,20
SOL/USDT:USDT,4h,IS,2.0,0.1259661874982803,20
SOL/USDT:USDT,4h,OOS,1.0,-0.020920256127768697,7
SOL/USDT:USDT,4h,OOS,1.5,-0.02259386438976344,7
SOL/USDT:USDT,4h,OOS,2.0,-0.024264801589454144,7
SOL/USDT:USDT,1d,IS,1.0,0.00124484914277582,2
SOL/USDT:USDT,1d,IS,1.5,0.0010996471532776922,2
SOL/USDT:USDT,1d,IS,2.0,0.0009544774376061469,2
SOL/USDT:USDT,1d,OOS,1.0,-0.02011450782313641,2
SOL/USDT:USDT,1d,OOS,1.5,-0.02022173004139986,2
SOL/USDT:USDT,1d,OOS,2.0,-0.020328931133882906,2
