symbol,timeframe,variant,total_return,win_rate,profit_factor,num_trades
BTC/USDT:USDT,4h,baseline,-0.03786794280910635,0.36363636363636365,0.5122571693334068,11
BTC/USDT:USDT,4h,close_pct2,-0.0016318666963295982,0.25,0.9615075059561815,4
BTC/USDT:USDT,4h,close_atr2,-0.008126069105609531,0.0,0.0,1
BTC/USDT:USDT,4h,sma20_stdev2_bollinger,-0.01680296032365295,0.3333333333333333,0.8106173018100462,12
BTC/USDT:USDT,4h,sma20_atr2,-0.016704173354706656,0.3333333333333333,0.811529624796348,12
BTC/USDT:USDT,1h,baseline,-0.11422541411422771,0.36585365853658536,0.6106469943697288,41
BTC/USDT:USDT,1h,close_pct2,0.20863714813319367,0.75,26.76968180151905,4
BTC/USDT:USDT,1h,close_atr2,0.17366750100295358,0.8,10.90470873299642,5
BTC/USDT:USDT,1h,sma20_stdev2_bollinger,0.04902454444433188,0.35135135135135137,1.1515336065376869,37
BTC/USDT:USDT,1h,sma20_atr2,0.08061777198466098,0.3684210526315789,1.2471412752546909,38
BTC/USDT:USDT,1d,baseline,-0.0032477411434389068,0.5,0.6815669301603894,2
BTC/USDT:USDT,1d,close_pct2,0.006336734801415514,0.5,1.6157510847597572,2
BTC/USDT:USDT,1d,close_atr2,0.1148775239159102,1.0,,1
BTC/USDT:USDT,1d,sma20_stdev2_bollinger,0.006455229777991372,0.5,1.634450015625106,2
BTC/USDT:USDT,1d,sma20_atr2,0.006455229777991372,0.5,1.634450015625106,2
ETH/USDT:USDT,4h,baseline,-0.03774580506580369,0.4,0.7098093301732464,10
ETH/USDT:USDT,4h,close_pct2,0.011030230246356586,0.5,1.1271291482206622,6
ETH/USDT:USDT,4h,close_atr2,0.10146543485063994,1.0,,1
ETH/USDT:USDT,4h,sma20_stdev2_bollinger,-0.05666251313595985,0.4,0.6153332369353012,10
ETH/USDT:USDT,4h,sma20_atr2,-0.05088956077055755,0.4,0.593083422458506,10
ETH/USDT:USDT,1h,baseline,-0.14763686284692668,0.32653061224489793,0.6061449497909736,49
ETH/USDT:USDT,1h,close_pct2,-0.12963422939987776,0.08333333333333333,0.1037575065584314,12
ETH/USDT:USDT,1h,close_atr2,-0.048075745116605506,0.2,0.5341585880245944,10
ETH/USDT:USDT,1h,sma20_stdev2_bollinger,-0.1722151540087283,0.3023255813953488,0.5165731156947203,43
ETH/USDT:USDT,1h,sma20_atr2,-0.16923461945347973,0.3111111111111111,0.5334292222501454,45
ETH/USDT:USDT,1d,baseline,-0.018575614988126654,0.25,0.3897791179217887,4
ETH/USDT:USDT,1d,close_pct2,-0.015329718678001154,0.25,0.5095808045540904,4
ETH/USDT:USDT,1d,close_atr2,0.30211469559372234,0.5,46.03564098425303,2
ETH/USDT:USDT,1d,sma20_stdev2_bollinger,-0.02612223129804115,0.25,0.1438055111405055,4
ETH/USDT:USDT,1d,sma20_atr2,-0.02612223129804115,0.25,0.1438055111405055,4
SOL/USDT:USDT,4h,baseline,0.0010033361623922247,0.4090909090909091,1.0059247578152746,22
SOL/USDT:USDT,4h,close_pct2,0.3209446630334536,0.47058823529411764,2.639664869009897,17
SOL/USDT:USDT,4h,close_atr2,0.3712712257247391,0.6666666666666666,10.5106423691314,6
SOL/USDT:USDT,4h,sma20_stdev2_bollinger,0.2636781490082905,0.42857142857142855,2.4557018561923907,21
SOL/USDT:USDT,4h,sma20_atr2,0.26310630142399477,0.42857142857142855,2.452213932865324,21
SOL/USDT:USDT,1h,baseline,-0.10506511389983716,0.34146341463414637,0.6548432410492536,41
SOL/USDT:USDT,1h,close_pct2,0.8124591286175666,0.6470588235294118,7.602494661709345,17
SOL/USDT:USDT,1h,close_atr2,0.3365925724220506,0.42857142857142855,7.298291508767314,7
SOL/USDT:USDT,1h,sma20_stdev2_bollinger,0.15445590277666416,0.38461538461538464,1.4884544370301285,39
SOL/USDT:USDT,1h,sma20_atr2,0.17210403545121025,0.38095238095238093,1.493680194275083,42
SOL/USDT:USDT,1d,baseline,-0.010200475340398953,0.0,0.0,1
SOL/USDT:USDT,1d,close_pct2,-0.010293921876757123,0.0,0.0,1
SOL/USDT:USDT,1d,close_atr2,0.0,0.0,,0
SOL/USDT:USDT,1d,sma20_stdev2_bollinger,-0.01017784190870534,0.0,0.0,1
SOL/USDT:USDT,1d,sma20_atr2,-0.01017784190870534,0.0,0.0,1
