symbol,timeframe,engine,bars,num_trades,long_trades,short_trades,win_rate,total_return,max_drawdown
BTC/USDT:USDT,15m,old,105193,231,231,0,0.41125541125541126,-0.4629131257664313,0.4832139753043816
BTC/USDT:USDT,15m,new,105193,1278,684,594,0.5320813771517997,-0.6174099643200336,0.6843138482966786
BTC/USDT:USDT,1h,old,26299,60,60,0,0.35,-0.1738521740956592,0.2001464155022004
BTC/USDT:USDT,1h,new,26299,405,203,202,0.5753086419753086,0.06895233417484614,0.22608990801259246
BTC/USDT:USDT,4h,old,6575,17,17,0,0.4117647058823529,-0.04251192272500521,0.05767473613258807
BTC/USDT:USDT,4h,new,6575,115,61,54,0.5217391304347826,0.04475450411171296,0.1535112084520671
BTC/USDT:USDT,1d,old,1096,3,3,0,0.3333333333333333,-0.013404607264876177,0.02005479936641973
BTC/USDT:USDT,1d,new,1096,17,11,6,0.5882352941176471,0.05394011871245566,0.09074135060802035
ETH/USDT:USDT,15m,old,105193,261,261,0,0.4099616858237548,-0.5446397408959546,0.5824890918613449
ETH/USDT:USDT,15m,new,105193,1517,802,715,0.5398813447593935,-0.5659914045918745,0.7136184874672357
ETH/USDT:USDT,1h,old,26299,68,68,0,0.3235294117647059,-0.2669621715131099,0.30616849087053666
ETH/USDT:USDT,1h,new,26299,465,242,223,0.5741935483870968,0.4163736200716503,0.1653674277758377
ETH/USDT:USDT,4h,old,6575,13,13,0,0.38461538461538464,-0.03828087816607167,0.06481757783076053
ETH/USDT:USDT,4h,new,6575,116,61,55,0.5862068965517241,0.16922286071020282,0.0780680839439026
ETH/USDT:USDT,1d,old,1096,5,5,0,0.4,-0.01261688095183472,0.03483656205687261
ETH/USDT:USDT,1d,new,1096,22,13,9,0.5,0.00728263254722624,0.1108576273767064
SOL/USDT:USDT,15m,old,105193,251,251,0,0.4262948207171315,-0.31587173245093947,0.3205563393511339
SOL/USDT:USDT,15m,new,105193,1775,892,883,0.535774647887324,-0.42936080818160133,0.5750433941830364
SOL/USDT:USDT,1h,old,26299,56,56,0,0.3392857142857143,-0.17289098122322083,0.21769184740149136
SOL/USDT:USDT,1h,new,26299,490,241,249,0.5693877551020409,0.3562048443928548,0.21530969728303506
SOL/USDT:USDT,4h,old,6575,24,24,0,0.4166666666666667,-0.006734788031986682,0.06370404124543137
SOL/USDT:USDT,4h,new,6575,120,62,58,0.5416666666666666,0.1709290227817659,0.14027656214293246
SOL/USDT:USDT,1d,old,1096,1,1,0,0.0,-0.010200475340398953,0.010200475340398953
SOL/USDT:USDT,1d,new,1096,18,8,10,0.4444444444444444,-0.014045337605663736,0.05331916851155041
