scope,symbol,timeframe,segment,tap0_filled,dropped_by_position,dropped_with_retap,dropped_retap_recovered,dropped_retap_blocked,dropped_no_retap
series,BTC/USDT:USDT,15m,is,603,34,9,4,5,25
series,BTC/USDT:USDT,1h,is,129,6,1,0,1,5
series,BTC/USDT:USDT,4h,is,30,0,0,0,0,0
series,BTC/USDT:USDT,1d,is,1,0,0,0,0,0
series,ETH/USDT:USDT,15m,is,615,28,9,2,7,19
series,ETH/USDT:USDT,1h,is,137,7,3,1,2,4
series,ETH/USDT:USDT,4h,is,26,0,0,0,0,0
series,ETH/USDT:USDT,1d,is,5,0,0,0,0,0
series,SOL/USDT:USDT,15m,is,613,13,6,2,4,7
series,SOL/USDT:USDT,1h,is,147,10,4,2,2,6
series,SOL/USDT:USDT,4h,is,33,0,0,0,0,0
series,SOL/USDT:USDT,1d,is,5,0,0,0,0,0
global,ALL,ALL,is,2344,1343,607,225,382,736
series,BTC/USDT:USDT,15m,oos,305,15,7,3,4,8
series,BTC/USDT:USDT,1h,oos,70,3,1,0,1,2
series,BTC/USDT:USDT,4h,oos,13,1,0,0,0,1
series,BTC/USDT:USDT,1d,oos,3,0,0,0,0,0
series,ETH/USDT:USDT,15m,oos,317,27,11,5,6,16
series,ETH/USDT:USDT,1h,oos,69,4,1,1,0,3
series,ETH/USDT:USDT,4h,oos,14,0,0,0,0,0
series,ETH/USDT:USDT,1d,oos,4,0,0,0,0,0
series,SOL/USDT:USDT,15m,oos,302,10,4,2,2,6
series,SOL/USDT:USDT,1h,oos,56,4,0,0,0,4
series,SOL/USDT:USDT,4h,oos,14,1,1,1,0,0
series,SOL/USDT:USDT,1d,oos,0,0,0,0,0,0
global,ALL,ALL,oos,1167,625,303,131,172,322
