symbol,timeframe,segment,side,total_return,num_trades,win_rate
BTC/USDT:USDT,15m,IS,long,0.04621351843539105,245,0.5061224489795918
BTC/USDT:USDT,15m,IS,short,-0.2938922356087956,245,0.4204081632653061
BTC/USDT:USDT,15m,OOS,long,-0.024304825172126586,158,0.4810126582278481
BTC/USDT:USDT,15m,OOS,short,-0.07514880645477115,101,0.43564356435643564
BTC/USDT:USDT,1h,IS,long,-0.01788364130342161,68,0.45588235294117646
BTC/USDT:USDT,1h,IS,short,0.10004434257013253,89,0.5280898876404494
BTC/USDT:USDT,1h,OOS,long,0.04549135769814038,49,0.5102040816326531
BTC/USDT:USDT,1h,OOS,short,0.0045190913116057345,43,0.46511627906976744
BTC/USDT:USDT,4h,IS,long,0.012191095291314378,22,0.45454545454545453
BTC/USDT:USDT,4h,IS,short,0.021222306761945767,21,0.47619047619047616
BTC/USDT:USDT,4h,OOS,long,-0.060182147481320496,13,0.23076923076923078
BTC/USDT:USDT,4h,OOS,short,-0.018659702449810356,8,0.375
BTC/USDT:USDT,1d,IS,long,-0.010072131153726514,1,0.0
BTC/USDT:USDT,1d,IS,short,-0.03009691297114841,3,0.0
BTC/USDT:USDT,1d,OOS,long,-0.015716808602524723,4,0.25
BTC/USDT:USDT,1d,OOS,short,-0.010246674556035578,1,0.0
ETH/USDT:USDT,15m,IS,long,-0.03317003301684599,269,0.4758364312267658
ETH/USDT:USDT,15m,IS,short,-0.25214019401023563,285,0.45263157894736844
ETH/USDT:USDT,15m,OOS,long,0.1427892647388835,165,0.5272727272727272
ETH/USDT:USDT,15m,OOS,short,-0.07400329815914865,131,0.44274809160305345
ETH/USDT:USDT,1h,IS,long,-0.040264672583945865,78,0.44871794871794873
ETH/USDT:USDT,1h,IS,short,0.0501140120304668,77,0.4805194805194805
ETH/USDT:USDT,1h,OOS,long,0.18073331502573092,57,0.5614035087719298
ETH/USDT:USDT,1h,OOS,short,0.09769086522625657,59,0.5084745762711864
ETH/USDT:USDT,4h,IS,long,0.023381723581561528,19,0.47368421052631576
ETH/USDT:USDT,4h,IS,short,0.019627957029291612,21,0.47619047619047616
ETH/USDT:USDT,4h,OOS,long,0.013132261228221432,13,0.46153846153846156
ETH/USDT:USDT,4h,OOS,short,-0.003297412845513827,12,0.4166666666666667
ETH/USDT:USDT,1d,IS,long,-0.00598963123253634,3,0.3333333333333333
ETH/USDT:USDT,1d,IS,short,0.019311459561466834,3,0.6666666666666666
ETH/USDT:USDT,1d,OOS,long,-0.014178030327097985,5,0.4
ETH/USDT:USDT,1d,OOS,short,-0.010205806352774198,1,0.0
SOL/USDT:USDT,15m,IS,long,0.20656780634158203,325,0.49230769230769234
SOL/USDT:USDT,15m,IS,short,-0.24131404547297344,319,0.438871473354232
SOL/USDT:USDT,15m,OOS,long,-0.032679420935568304,163,0.48466257668711654
SOL/USDT:USDT,15m,OOS,short,-0.14766753894481607,141,0.425531914893617
SOL/USDT:USDT,1h,IS,long,0.010265661774377622,89,0.43820224719101125
SOL/USDT:USDT,1h,IS,short,-0.10773436061574175,86,0.38372093023255816
SOL/USDT:USDT,1h,OOS,long,-0.007106609422222937,45,0.4444444444444444
SOL/USDT:USDT,1h,OOS,short,-0.06973690862729381,50,0.38
SOL/USDT:USDT,4h,IS,long,0.019273015444545852,27,0.4444444444444444
SOL/USDT:USDT,4h,IS,short,0.06070554239203138,30,0.5
SOL/USDT:USDT,4h,OOS,long,0.018480300583051213,10,0.5
SOL/USDT:USDT,4h,OOS,short,-0.03460324748521034,8,0.25
SOL/USDT:USDT,1d,IS,long,0.004681996394515772,2,0.5
SOL/USDT:USDT,1d,IS,short,-0.005773662630254694,3,0.3333333333333333
SOL/USDT:USDT,1d,OOS,long,-0.020274696776109522,2,0.0
SOL/USDT:USDT,1d,OOS,short,-0.00547779416931171,3,0.3333333333333333
