symbol,timeframe,engine,bars,num_trades,long_trades,short_trades,win_rate,total_return,max_drawdown
BTC/USDT:USDT,15m,long_only,105193,740,740,0,0.5445945945945946,-0.22959020369475538,0.42926070005610606
BTC/USDT:USDT,15m,short_enabled,105193,1278,684,594,0.5320813771517997,-0.6174099643200336,0.6843138482966786
BTC/USDT:USDT,1h,long_only,26299,233,233,0,0.5536480686695279,-0.028671203990550384,0.18271922024717474
BTC/USDT:USDT,1h,short_enabled,26299,405,203,202,0.5753086419753086,0.06895233417484614,0.22608990801259246
BTC/USDT:USDT,4h,long_only,6575,62,62,0,0.5483870967741935,0.09164956092019784,0.0987238288356464
BTC/USDT:USDT,4h,short_enabled,6575,115,61,54,0.5217391304347826,0.04475450411171296,0.1535112084520671
BTC/USDT:USDT,1d,long_only,1096,11,11,0,0.8181818181818182,0.09716876781999872,0.07188723413295375
BTC/USDT:USDT,1d,short_enabled,1096,17,11,6,0.5882352941176471,0.05394011871245566,0.09074135060802035
ETH/USDT:USDT,15m,long_only,105193,874,874,0,0.5583524027459954,-0.2174346915582627,0.4509696155791471
ETH/USDT:USDT,15m,short_enabled,105193,1517,802,715,0.5398813447593935,-0.5659914045918745,0.7136184874672357
ETH/USDT:USDT,1h,long_only,26299,260,260,0,0.5653846153846154,0.16676874269364872,0.1680878184399322
ETH/USDT:USDT,1h,short_enabled,26299,465,242,223,0.5741935483870968,0.4163736200716503,0.1653674277758377
ETH/USDT:USDT,4h,long_only,6575,63,63,0,0.6507936507936508,0.14195977606493707,0.06845217374918007
ETH/USDT:USDT,4h,short_enabled,6575,116,61,55,0.5862068965517241,0.16922286071020282,0.0780680839439026
ETH/USDT:USDT,1d,long_only,1096,13,13,0,0.5384615384615384,0.017027588726121756,0.08388911943181271
ETH/USDT:USDT,1d,short_enabled,1096,22,13,9,0.5,0.00728263254722624,0.1108576273767064
SOL/USDT:USDT,15m,long_only,105193,939,939,0,0.5527156549520766,-0.08152865316007701,0.290863458686873
SOL/USDT:USDT,15m,short_enabled,105193,1775,892,883,0.535774647887324,-0.42936080818160133,0.5750433941830364
SOL/USDT:USDT,1h,long_only,26299,253,253,0,0.5968379446640316,0.3508788233775162,0.2153096972830352
SOL/USDT:USDT,1h,short_enabled,26299,490,241,249,0.5693877551020409,0.3562048443928548,0.21530969728303506
SOL/USDT:USDT,4h,long_only,6575,65,65,0,0.5384615384615384,0.1148017579227926,0.14339177665216074
SOL/USDT:USDT,4h,short_enabled,6575,120,62,58,0.5416666666666666,0.1709290227817659,0.14027656214293246
SOL/USDT:USDT,1d,long_only,1096,8,8,0,0.375,-0.010344737670204995,0.038553584667921144
SOL/USDT:USDT,1d,short_enabled,1096,18,8,10,0.4444444444444444,-0.014045337605663736,0.05331916851155041
