symbol,timeframe,segment,buy_hold_return,num_bars
BTC/USDT:USDT,15m,IS,2.960603261349881,70128
BTC/USDT:USDT,15m,OOS,-0.4618051977200844,35064
BTC/USDT:USDT,1h,IS,2.9551320401723,17532
BTC/USDT:USDT,1h,OOS,-0.4604638408201557,8766
BTC/USDT:USDT,4h,IS,2.9496458784424004,4383
BTC/USDT:USDT,4h,OOS,-0.44845304689075755,2192
BTC/USDT:USDT,1d,IS,2.8906067251229173,731
BTC/USDT:USDT,1d,OOS,-0.45624192831997434,365
ETH/USDT:USDT,15m,IS,0.5477912690092351,70128
ETH/USDT:USDT,15m,OOS,-0.37854523526726297,35064
ETH/USDT:USDT,1h,IS,0.551144986465917,17532
ETH/USDT:USDT,1h,OOS,-0.37819140700078135,8766
ETH/USDT:USDT,4h,IS,0.5551503791488874,4383
ETH/USDT:USDT,4h,OOS,-0.36525003139488915,2192
ETH/USDT:USDT,1d,IS,0.6306666769636053,731
ETH/USDT:USDT,1d,OOS,-0.44740166114477287,365
SOL/USDT:USDT,15m,IS,4.6257352012672905,70128
SOL/USDT:USDT,15m,OOS,-0.5231234457947895,35064
SOL/USDT:USDT,1h,IS,4.598350584682775,17532
SOL/USDT:USDT,1h,OOS,-0.5218870543017518,8766
SOL/USDT:USDT,4h,IS,4.873957383406915,4383
SOL/USDT:USDT,4h,OOS,-0.5126513272597952,2192
SOL/USDT:USDT,1d,IS,4.9753904509283835,731
SOL/USDT:USDT,1d,OOS,-0.5558489199767771,365
