segment,timeframe,assumption,best_offset_bps,best_return,neighbour_mean_return,positive_offsets,num_offsets,is_plateau
full,15m,baseline,0.0,0.15795542234220228,0.10472100221809877,2,5,True
full,15m,pen_5bp,2.0,0.018556992659748358,-0.0140253332406712,2,5,False
full,15m,pen_5bp_drop_50,0.0,-0.05394719459527838,-0.07087139840649498,0,5,
full,1h,baseline,2.0,0.09930597141198165,0.07913351346747513,4,5,True
full,1h,pen_5bp,2.0,0.07597408605938988,0.05732508508415049,4,5,True
full,1h,pen_5bp_drop_50,5.0,0.03546125156303034,-0.030387603887517725,2,5,False
is,15m,baseline,0.0,0.10391400315138538,0.07577216948513142,2,5,True
is,15m,pen_5bp_drop_50,0.0,-0.020550180045931583,-0.025484937077865952,0,5,
is,1h,baseline,2.0,-0.0007145523346592519,-0.01344380028036694,0,5,
is,1h,pen_5bp_drop_50,5.0,0.009443293079015569,-0.04495773319036711,1,5,False
oos,15m,baseline,0.0,0.02456808592182976,0.0014703217056662304,2,5,False
oos,15m,pen_5bp_drop_50,0.0,-0.024683929123240356,-0.0443503362448316,0,5,
oos,1h,baseline,0.0,0.03572715422599407,0.03555967854360855,4,5,True
oos,1h,pen_5bp_drop_50,2.0,0.02056544952077345,0.009411388505466939,3,5,False
