floor,hold,thr,segment,trades,ret,mdd
0.0,4,15.0,full,3476,-0.05909483242244423,0.8998805560795711
0.0,4,15.0,is,1988,2.3449363958175358,0.7612879754135053
0.0,4,15.0,oos_warm,1488,-0.7218144107388625,0.8667341775106628
0.0,4,20.0,full,6902,-0.9639364317986249,0.9980759429870378
0.0,4,20.0,is,4145,0.08054186767698247,0.9681216816942038
0.0,4,20.0,oos_warm,2757,-0.9666120959383301,0.979994738299212
0.0,4,25.0,full,10151,-0.999496774332411,0.9999605472925056
0.0,4,25.0,is,6368,-0.927801878726486,0.9958879695212824
0.0,4,25.0,oos_warm,3783,-0.9930199601515695,0.9966161560188314
0.0,8,15.0,full,3457,-0.42865353378627885,0.9555324196492466
0.0,8,15.0,is,1983,1.3983850843013144,0.8747175444037517
0.0,8,15.0,oos_warm,1474,-0.7641398834608897,0.8625597518228165
0.0,8,20.0,full,6827,-0.9796305308273406,0.9991684414325964
0.0,8,20.0,is,4117,-0.007742153200797475,0.9786748579455674
0.0,8,20.0,oos_warm,2712,-0.9799745318467732,0.9827520758401658
0.0,8,25.0,full,9987,-0.9998550794474519,0.9999910272030597
0.0,8,25.0,is,6279,-0.9633466731884095,0.998586165977364
0.0,8,25.0,oos_warm,3711,-0.9960718294960725,0.9970627416602844
0.02,4,15.0,full,1981,0.890879126098422,0.6700119179477623
0.02,4,15.0,is,1274,1.4894910409008313,0.5282238328699957
0.02,4,15.0,oos_warm,707,-0.24879609194763544,0.6700119179477618
0.02,4,20.0,full,4126,-0.15715664400369478,0.9301160219908652
0.02,4,20.0,is,2717,0.599643170724616,0.8889757821118761
0.02,4,20.0,oos_warm,1409,-0.47252880503056294,0.771660929190599
0.02,4,25.0,full,6228,-0.6028159515765054,0.9705764969752078
0.02,4,25.0,is,4219,0.11106305037091334,0.9372273730353075
0.02,4,25.0,oos_warm,2009,-0.639646117242288,0.8498263297417245
0.02,8,15.0,full,1980,0.7847645782968881,0.7338523035320148
0.02,8,15.0,is,1273,1.6975048393486547,0.599559040762647
0.02,8,15.0,oos_warm,707,-0.34382946016805016,0.6933122193091591
0.02,8,20.0,full,4103,-0.17495517657398085,0.9514705822784898
0.02,8,20.0,is,2700,1.1155372571640816,0.8992346007155987
0.02,8,20.0,oos_warm,1403,-0.6109059811506228,0.7884953760759339
0.02,8,25.0,full,6176,-0.7635658977688757,0.9871874767617639
0.02,8,25.0,is,4179,0.2634162946461602,0.9547126921976918
0.02,8,25.0,oos_warm,1997,-0.8139329813216052,0.8592317843043179
0.03,4,15.0,full,1304,1.4732216399009703,0.5205130013799832
0.03,4,15.0,is,905,0.7567847072107233,0.49892483224145723
0.03,4,15.0,oos_warm,399,0.4060142810114663,0.5205130013799831
0.03,4,20.0,full,2764,0.833781130262935,0.821016998220468
0.03,4,20.0,is,1934,0.31108276513567723,0.7769316098428956
0.03,4,20.0,oos_warm,830,0.412368166296151,0.6471703479974801
0.03,4,25.0,full,4139,0.2393900802735334,0.8930558500112591
0.03,4,25.0,is,2961,-0.13245770058821782,0.8701833929435988
0.03,4,25.0,oos_warm,1178,0.44578903547421744,0.6937169158337927
0.03,8,15.0,full,1304,1.5870908707110691,0.6247673415049241
0.03,8,15.0,is,905,0.7734747857651848,0.6247673415049241
0.03,8,15.0,oos_warm,399,0.4441601149064229,0.5376066450838306
0.03,8,20.0,full,2761,0.4257356857588422,0.9052628827752084
0.03,8,20.0,is,1931,-0.02626319097568394,0.856475713277346
0.03,8,20.0,oos_warm,830,0.45546592533578023,0.6620055292079975
0.03,8,25.0,full,4130,-0.19464575840771942,0.9552649610743628
0.03,8,25.0,is,2952,-0.4110747608797813,0.9274746417104083
0.03,8,25.0,oos_warm,1178,0.36023672635455406,0.7184980923193017
0.04,4,15.0,full,861,1.8279259531935814,0.38513139188600815
0.04,4,15.0,is,627,0.9034982626419307,0.38513139188600815
0.04,4,15.0,oos_warm,234,0.48347218795831687,0.3081793592180061
0.04,4,20.0,full,1811,1.8249520187526018,0.4819772697277043
0.04,4,20.0,is,1333,1.021522321514469,0.4819772697277043
0.04,4,20.0,oos_warm,478,0.4104727651570942,0.4217879194483059
0.04,4,25.0,full,2709,4.3035504721996025,0.6512757644072292
0.04,4,25.0,is,2030,1.3754531767841902,0.6512757644072292
0.04,4,25.0,oos_warm,679,1.2561626117090259,0.47404349844545307
0.04,8,15.0,full,861,1.7252571054706518,0.48123546909654835
0.04,8,15.0,is,627,0.905369844487133,0.48123546909654835
0.04,8,15.0,oos_warm,234,0.4154367793332891,0.3220494986863495
0.04,8,20.0,full,1811,1.3257510606460354,0.6112779085995066
0.04,8,20.0,is,1333,0.6557028267638859,0.6112779085995066
0.04,8,20.0,oos_warm,478,0.3951688610520545,0.43461889513952945
0.04,8,25.0,full,2706,2.763036530826774,0.7000182148007648
0.04,8,25.0,is,2027,0.9948729834917732,0.7000182148007648
0.04,8,25.0,oos_warm,679,0.872946613074471,0.49602143458172065
